(0 0)	(1 0)	1.00	-5.00	5.00	5.00
(1 0)	(0 1)	1.41	0.71	0.71	1.00
(1 0)	(2 1)	1.41	-0.71	1.02	1.45
(3 0)	(2 1)	1.41	0.71	0.71	1.00
(3 0)	(4 1)	1.41	-0.71	1.02	1.45
(5 0)	(4 1)	1.41	0.71	0.71	1.00
(5 0)	(6 1)	1.41	-0.71	1.02	1.45
(7 0)	(6 1)	1.41	0.71	0.71	1.00
(7 0)	(8 1)	1.41	-0.71	1.02	1.45
(9 0)	(8 1)	1.41	0.71	0.71	1.00
(9 0)	(10 1)	1.41	-0.71	1.02	1.45
(10 0)	(10 1)	1.00	1.00	1.00	1.00
(0 1)	(1 2)	1.41	-0.71	1.02	1.45
(2 1)	(1 2)	1.41	0.71	0.71	1.00
(2 1)	(3 2)	1.41	-0.71	1.02	1.45
(4 1)	(3 2)	1.41	0.71	0.71	1.00
(4 1)	(5 2)	1.41	-0.71	1.02	1.45
(6 1)	(5 2)	1.41	0.71	0.71	1.00
(6 1)	(7 2)	1.41	-0.71	1.02	1.45
(8 1)	(7 2)	1.41	0.71	0.71	1.00
(8 1)	(9 2)	1.41	-0.71	1.02	1.45
(10 1)	(9 2)	1.41	0.71	0.71	1.00
(0 2)	(1 2)	1.00	5.00	5.00	5.00
(1 0)	(3 0)	2.00	-4.00	4.00	8.00
(3 0)	(5 0)	2.00	-3.00	3.00	6.00
(5 0)	(7 0)	2.00	-2.00	2.43	4.87
(7 0)	(9 0)	2.00	-1.00	1.72	3.44
(1 2)	(3 2)	2.00	4.00	4.00	8.00
(3 2)	(5 2)	2.00	3.00	3.00	6.00
(5 2)	(7 2)	2.00	2.00	2.00	4.00
(7 2)	(9 2)	2.00	1.00	1.00	2.00
